公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数,,,,,,,,
1月10日,省级,安徽,,,,,,,,,,,,,,,,,,
1月11日,省级,安徽,,,,,,,,,,,,,,,,,,
1月12日,省级,安徽,,,,,,,,,,,,,,,,,,
1月13日,省级,安徽,,,,,,,,,,,,,,,,,,
1月14日,省级,安徽,,,,,,,,,,,,,,,,,,
1月15日,省级,安徽,,,,,,,,,,,,,,,,,,
1月16日,省级,安徽,,,,,,,,,,,,,,,,,,
1月17日,省级,安徽,,,,,,,,,,,,,,,,,,
1月18日,省级,安徽,,,,,,,,,,,,,,,,,,
1月19日,省级,安徽,,,,,,,,,,,,,,,,,,
1月20日,省级,安徽,,,,,,,,,,,,,,,,,,
1月21日,省级,安徽,,1,,,,,,,,,,,,,,,,
1月22日,省级,安徽,,8,,,,,,,,,,,,,,,,
1月23日,省级,安徽,,6,,,,,,,,,,,,,,,,
1月24日,省级,安徽,,24,,,,,,,,,,,,,,,,
1月25日,省级,安徽,,21,,,,,,,,,,,,,,,,
1月26日,省级,安徽,,10,,,,,,,,,,,,,,,,
1月27日,省级,安徽,,36,,,,,,,,,,,,,,,,
1月28日,省级,安徽,,46,,,,,,,,,,,,,,,,
1月29日,省级,安徽,,48,2,,,,,,2,,,,,,,,,
1月30日,省级,安徽,,37,1,,,,,,3,,,,,,,,,
1月31日,省级,安徽,,60,,,,,,,3,,,,,,,,,
2月1日,省级,安徽,,43,2,,,,,,5,,,,,,,,,
2月2日,省级,安徽,,68,2,,,,,,7,,,,,,,,,
2月3日,省级,安徽,,72,7,,,,,,14,,,,,,,,,
2月4日,省级,安徽,,50,6,,,,,,20,,,,,,,,,
2月5日,省级,安徽,,61,3,,,,,,23,,,,,,,,,
2月6日,省级,安徽,,74,11,,,,,,34,,,,,,,,,
2月7日,省级,安徽,,68,13,,,,,,47,,,,,,,,,
2月8日,省级,安徽,,46,12,1,,,,,59,1,,,,,,,,
2月9日,省级,安徽,,51,14,2,,,,,73,3,,,,,,,,
2月10日,省级,安徽,,30,15,1,,,,,88,4,,,,,,,,
2月11日,省级,安徽,,29,20,,,,,,108,4,,,,,,,,
2月12日,省级,安徽,,22,20,1,-1,,,,128,5,,,,,,,,
2月13日,省级,安徽,,24,38,1,,,,,,,,,,,,,,
2月14日,省级,安徽,,16,32,,,,,,,,,,,,,,,
2月15日,省级,安徽,,12,34,,,,,,,,,,,,,,,周五复盘
2月16日,省级,安徽,,11,34,,,,,973,266,6,,,,,,,,马老师面试培训
2月17日,省级,安徽,,9,27,,,,,982,293,6,,,,,,,,
2月18日,省级,安徽,,4,68,,,,,986,361,6,,,,,,,,
2月19日,省级,安徽,,1,63,,,,,987,424,6,,,,,,,,
2月20日,省级,安徽,,1,76,,,,,988,500,6,,,,,,,,
2月21日,省级,安徽,,1,67,,,,,989,567,6,,,,,,,,
2月22日,省级,安徽,,,53,,,,,989,620,6,,,,,,,,
2月23日,省级,安徽,,,28,,,,,989,648,6,,,,,,,,
2月24日,省级,安徽,,,44,,,,,989,692,6,,,,,,,,
2月25日,省级,安徽,,,35,,,,,989,727,6,,,,,,,,
2月26日,省级,安徽,,,37,,,,,989,764,6,,,,,,,,
2月27日,省级,安徽,,1,50,,,,,990,814,6,,,,,,,,
2月28日,省级,安徽,,,28,,,,,990,842,6,,,,,,,,
2月29日,省级,安徽,,,26,,,,,990,868,6,,,,,,,,
3月1日,省级,安徽,,,20,,,,,990,888,6,,,,,,,,
3月2日,省级,安徽,,,29,,,,,990,917,6,,,,,,,,
3月3日,省级,安徽,,,24,,,,,990,941,6,,,,,,,,
3月4日,省级,安徽,,,15,,,,,990,956,6,,,,,,,,
3月5日,省级,安徽,,,14,,,,,990,970,6,,,,,,,,
3月6日,省级,安徽,,,9,,,,,990,979,6,,,,,,,,
3月7日,省级,安徽,,,2,,,,,990,981,6,,,,,,,,
